映像名称                       PID 会话名              会话#       内存使用
QQBrowser.exe                 2996 Console                    6     16,132 K
QQBrowser.exe                 6720 Console                    6     70,360 K
QQBrowser.exe                12724 Console                    6     64,344 K
QQBrowser.exe                 7088 Console                    6     56,500 K
QQBrowser.exe                 7060 Console                    6     23,592 K
QQBrowser.exe                 3848 Console                    6     30,648 K
QQBrowser.exe                16684 Console                    6     19,584 K
QQBrowser.exe                13248 Console                    6     25,468 K
QQBrowser.exe                  912 Console                    6     14,576 K
QQBrowser.exe                18164 Console                    6      7,536 K
QQBrowser.exe                 3312 Console                    6     39,364 K
QQBrowser.exe                 3288 Console                    6     13,196 K
QQBrowser.exe                13204 Console                    6     21,620 K
ChsIME.exe                    2136 Console                    6     12,268 K
WeChatWeb.exe                 9296 Console                    6     25,128 K
Microsoft.Photos.exe         11560 Console                    6     28,400 K
RuntimeBroker.exe            17008 Console                    6     27,160 K
acrotray.exe                 14716 Console                    6      6,092 K
pycharm64.exe                14348 Console                    6    261,564 K
fsnotifier64.exe              4792 Console                    6      3,668 K
conhost.exe                  16288 Console                    6      4,116 K
SQLyog.exe                   13660 Console                    6     33,188 K
notepad++.exe                13552 Console                    6     31,964 K
gitkraken.exe                11624 Console                    6     94,572 K
gitkraken.exe                 6608 Console                    6     39,096 K
gitkraken.exe                14636 Console                    6    125,036 K
gitkraken.exe                19028 Console                    6     35,080 K
svchost.exe                   8880 Services                   0      5,228 K
python.exe                   11144 Console                    6      9,852 K
SystemSettingsBroker.exe      8496 Console                    6     27,916 K
python.exe                    9864 Console                    6     26,904 K
taskhostw.exe                10092 Console                    6     18,000 K
svchost.exe                  15548 Services                   0     19,440 K
gitkraken.exe                 8552 Console                    6    249,996 K
svchost.exe                   5472 Services                   0      6,676 K
wwbizsrv.exe                 11380 Services                   0     15,164 K
svchost.exe                   8828 Services                   0      5,564 K
Lenovo.Modern.ImControlle    19956 Console                    6     55,472 K
chrome.exe                   19796 Console                    6     46,680 K
chrome.exe                    4624 Console                    6     22,060 K
Lenovo.Modern.ImControlle     7156 Console                    6     47,212 K
Lenovo.Modern.ImControlle    13236 Services                   0     43,568 K
QQPYCloud.exe                 4252 Console                    6     11,544 K
SearchProtocolHost.exe       16212 Console                    6      7,872 K
SearchFilterHost.exe         17188 Services                   0      6,232 K
cmd.exe                      19708 Console                    6      3,320 K
conhost.exe                  19776 Console                    6     39,588 K
tasklist.exe                 13000 Console                    6      7,696 K
